Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-06-04,VEG,@,CAR,L 3-4 (OT),0,0,0,0,0,0,0,0,0,0,0,0,0,,26,22:22,1,1,8,11,42.1
2026-06-02,VEG,@,CAR,W 5-4,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,24,20:33,0,0,6,6,50.0
2026-05-26,VEG,,COL,W 2-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,21:12,2,1,11,5,68.8
2026-05-24,VEG,,COL,W 5-3,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,27,23:02,1,2,8,7,53.3
2026-05-22,VEG,@,COL,W 3-1,1,1,2,3,2,1,0,0,0,1,0,0,2,50.0,26,19:06,1,2,6,11,35.3
