Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-06-06,VEG,,CAR,W 5-4 (OT),0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,34,21:31,6,1,0,0,
2026-06-04,VEG,@,CAR,L 3-4 (OT),2,0,2,1,0,2,0,0,0,0,0,0,3,66.7,22,15:35,1,3,0,1,0.0
2026-06-02,VEG,@,CAR,W 5-4,1,1,2,1,2,1,0,0,0,1,0,0,2,50.0,26,14:51,3,0,0,0,
2026-05-26,VEG,,COL,W 2-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,18:19,6,0,1,0,100.0
2026-05-24,VEG,,COL,W 5-3,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,25,17:03,4,0,2,3,40.0
