Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-06-06,VEG,,CAR,W 5-4 (OT),0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,19:40,8,2,8,7,53.3
2026-06-04,VEG,@,CAR,L 3-4 (OT),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:06,2,1,8,5,61.5
2026-06-02,VEG,@,CAR,W 5-4,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:14,4,1,2,4,33.3
2026-05-26,VEG,,COL,W 2-1,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,16,10:57,1,0,2,4,33.3
2026-05-24,VEG,,COL,W 5-3,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,10:20,2,0,3,4,42.9
