Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-06-02,VEG,@,CAR,W 5-4,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,17,15:10,0,0,3,5,37.5
2026-05-26,VEG,,COL,W 2-1,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,15:15,1,0,2,3,40.0
2026-05-24,VEG,,COL,W 5-3,1,1,2,0,0,1,0,0,1,0,1,0,3,33.3,17,13:23,2,0,4,2,66.7
2026-05-22,VEG,@,COL,W 3-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,13:23,3,1,6,4,60.0
2026-05-20,VEG,@,COL,W 4-2,0,1,1,1,0,0,0,0,0,0,1,0,1,0.0,14,10:45,0,0,8,2,80.0
