Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-06-06,VEG,,CAR,W 5-4 (OT),0,1,1,3,0,0,0,0,0,1,0,0,2,0.0,34,24:09,2,1,12,14,46.2
2026-06-04,VEG,@,CAR,L 3-4 (OT),0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,26,19:07,0,1,7,9,43.8
2026-06-02,VEG,@,CAR,W 5-4,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,30,18:05,0,1,10,11,47.6
2026-05-26,VEG,,COL,W 2-1,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,23,17:34,0,0,9,7,56.3
2026-05-24,VEG,,COL,W 5-3,1,1,2,3,0,1,0,0,0,1,0,0,2,50.0,26,17:22,0,1,6,6,50.0
