Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-06-04,VEG,@,CAR,L 3-4 (OT),0,0,0,0,2,0,0,0,0,0,0,0,0,,20,14:22,3,1,2,4,33.3
2026-06-02,VEG,@,CAR,W 5-4,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,21,14:01,4,2,10,5,66.7
2026-05-26,VEG,,COL,W 2-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,11:53,2,2,4,4,50.0
2026-05-24,VEG,,COL,W 5-3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:27,1,0,7,2,77.8
2026-05-22,VEG,@,COL,W 3-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,13:43,2,0,0,2,0.0
