Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-06-04,CAR,,VEG,W 4-3 (OT),1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,18,9:47,1,0,4,8,33.3
2026-06-02,CAR,,VEG,L 4-5,0,0,0,-1,4,0,0,0,0,0,0,0,0,,19,10:33,0,1,5,7,41.7
2026-05-29,CAR,,MTL,W 6-1,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,12:28,0,1,4,3,57.1
2026-05-27,CAR,@,MTL,W 4-0,0,0,0,0,10,0,0,0,0,0,0,0,2,0.0,21,10:41,0,2,7,14,33.3
2026-05-25,CAR,@,MTL,W 3-2 (OT),0,1,1,1,0,0,0,0,0,1,0,0,0,,22,13:17,2,0,10,6,62.5
