Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-06-04,CAR,,VEG,W 4-3 (OT),1,0,1,0,0,0,1,0,1,0,0,0,2,50.0,24,20:04,3,0,0,0,
2026-06-02,CAR,,VEG,L 4-5,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,17:40,0,1,0,0,
2026-05-29,CAR,,MTL,W 6-1,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,23,18:04,2,0,0,2,0.0
2026-05-27,CAR,@,MTL,W 4-0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,25,17:34,1,0,0,1,0.0
2026-05-25,CAR,@,MTL,W 3-2 (OT),0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,28,20:56,0,1,0,0,
