Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-06-06,CAR,@,VEG,L 4-5 (OT),0,2,2,0,0,0,0,0,0,1,1,0,0,,32,24:51,1,1,10,10,50.0
2026-06-04,CAR,,VEG,W 4-3 (OT),0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,26,21:37,4,1,9,7,56.3
2026-06-02,CAR,,VEG,L 4-5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:31,0,0,7,8,46.7
2026-05-29,CAR,,MTL,W 6-1,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,23,18:44,0,0,4,6,40.0
2026-05-27,CAR,@,MTL,W 4-0,1,0,1,1,0,0,1,0,1,0,0,0,2,50.0,25,20:20,0,0,7,5,58.3
