Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-06-06,CAR,@,VEG,L 4-5 (OT),0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,36,24:36,0,0,1,0,100.0
2026-06-04,CAR,,VEG,W 4-3 (OT),0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,17:52,0,0,0,0,
2026-06-02,CAR,,VEG,L 4-5,2,0,2,2,0,2,0,0,0,0,0,0,2,100.0,22,16:16,0,0,0,0,
2026-05-29,CAR,,MTL,W 6-1,0,1,1,0,2,0,0,0,0,0,1,0,2,0.0,22,16:20,0,0,0,0,
2026-05-27,CAR,@,MTL,W 4-0,0,2,2,1,0,0,0,0,0,1,1,0,1,0.0,26,17:05,1,2,0,1,0.0
