Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-05-29,CAR,,MTL,W 6-1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,13:33,1,1,0,0,
2026-05-27,CAR,@,MTL,W 4-0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,15:21,1,2,0,0,
2026-05-25,CAR,@,MTL,W 3-2 (OT),0,0,0,-1,2,0,0,0,0,0,0,0,0,,28,17:33,5,0,0,1,0.0
2026-05-23,CAR,,MTL,W 3-2 (OT),0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,23,16:10,1,1,0,1,0.0
2026-05-21,CAR,,MTL,L 2-6,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,19,12:46,2,1,0,0,
