Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-05-29,CAR,,MTL,W 6-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,15:05,3,2,13,11,54.2
2026-05-27,CAR,@,MTL,W 4-0,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,27,16:21,5,0,12,10,54.5
2026-05-25,CAR,@,MTL,W 3-2 (OT),0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,30,18:36,6,0,9,9,50.0
2026-05-23,CAR,,MTL,W 3-2 (OT),0,0,0,2,0,0,0,0,0,0,0,0,0,,23,16:39,10,1,11,7,61.1
2026-05-21,CAR,,MTL,L 2-6,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:33,8,0,10,5,66.7
