Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-06-02,CAR,,VEG,L 4-5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,14:02,2,0,0,1,0.0
2026-05-29,CAR,,MTL,W 6-1,1,2,3,3,0,1,0,0,0,2,0,0,2,50.0,19,15:26,0,0,0,1,0.0
2026-05-27,CAR,@,MTL,W 4-0,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,20,15:33,0,1,0,0,
2026-05-25,CAR,@,MTL,W 3-2 (OT),1,0,1,1,0,1,0,0,0,0,0,0,7,14.3,27,20:06,2,2,0,0,
2026-05-23,CAR,,MTL,W 3-2 (OT),0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,15:33,2,0,0,1,0.0
