Date,Team,game_location,Opp,Result,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2026-06-04,CAR,,VEG,W 4-3 (OT),1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,23,17:04,3,0,7,4,63.6
2026-06-02,CAR,,VEG,L 4-5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,15:37,2,0,8,8,50.0
2026-05-29,CAR,,MTL,W 6-1,1,2,3,2,0,1,0,0,1,2,0,0,4,25.0,18,16:00,5,0,3,5,37.5
2026-05-27,CAR,@,MTL,W 4-0,1,0,1,1,0,1,0,0,0,0,0,0,7,14.3,21,14:16,1,0,5,5,50.0
2026-05-25,CAR,@,MTL,W 3-2 (OT),0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,20:03,0,1,5,7,41.7
